Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Comment	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Differences	ST	HC0 (indistinguishable)	HC2	HC5	HC10	HC20	HC50	HC100	HC200	HC400	HC1100 (cgST Cplx)	HC1500	HC2000	HC2350 (subsp.)
ESC_AA1380AA	UR1829/Delta 67	traces-0plPSOQ;7GeneMLST;ND;;NA		Human	Human	2005				Europe	Germany			Wurzburg				Institute for  Hygiene and Microbiology, Wuerzburg		K1	K1		Pathogen		UTI		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA1380AA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ESC_AA1381AA	U3407	traces-0mJZqpY;7GeneMLST;ND;;NA		Human	Human	2001				Europe	Germany			Cologne				G. Plum							None		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA1381AA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ESC_AA1382AA	USEP2	traces-0AkEuIB;7GeneMLST;ND;;NA		Human	Human	2009				Europe	United Kingdom			Nottingham				A. McNally (Nottingham Trent University)					Pathogen	ExPEC	Septicemia		NA	NA	Septicemia	NA	NA	2015-08-26	2015-08-26	ESC_AA1382AA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ESC_AA1383AA	U3454	traces-0MlaEts;7GeneMLST;ND;;NA		Human	Human	2001				Europe	Germany			Cologne				G. Plum							None		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA1383AA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ESC_AA1384AA	IMT8991	traces-0PprThz;7GeneMLST;ND;;NA		Poultry	Chicken	2003				Europe	Germany							IMT FU-Berlin		O1:K1:H7/-	O1:K1:H7		Pathogen	APEC	Septicemia		NA	NA	Colibacillosis	NA	NA	2015-08-26	2015-08-26	ESC_AA1384AA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ESC_AA1385AA	IMT2250	traces-0VoUiUk;7GeneMLST;ND;;NA		Domesticated animal	Poultry	1999				Europe	Germany							L.Wieler, C.Ewers			H7		Pathogen	APEC	Septicemia		NA	NA	Septicemia	NA	NA	2015-08-26	2015-08-26	ESC_AA1385AA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ESC_AA1386AA	JVEC57	traces-0lpMvdN;7GeneMLST;ND;;NA		Human	Human	2000				East Asia	Japan			Tsukuba				W. Ba-Thein			O2:K1:H7	B2	Non pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA1386AA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ESC_AA1387AA	IMT4525	traces-0QBVmQD;7GeneMLST;ND;;NA		Poultry	Chicken	2000				Europe	Germany							L.Wieler, C.Ewers		O78:K80	O1:K1:H7		Pathogen	APEC	Septicemia		NA	NA	Septicemia	NA	NA	2015-08-26	2015-08-26	ESC_AA1387AA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ESC_AA1388AA	IMT2114	traces-0SwPriu;7GeneMLST;ND;;NA		Bird	Turkey	1999				Europe	Germany							IMT FU-Berlin			O18:K1:H1		Pathogen	APEC	Septicemia		NA	NA	Colibacillosis	NA	NA	2015-08-26	2015-08-26	ESC_AA1388AA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ESC_AA1389AA	A247	traces-0MDJjtZ;7GeneMLST;ND;;NA		Human	Human	1943				Europe	Sweden							M. Achtman		O18:K1:H7/-	O18:H7:K1		Pathogen		Invasive		NA	NA	Appendicitis	NA	NA	2015-08-26	2015-08-26	ESC_AA1389AA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ESC_AA1390AA	IMT21098	traces-0EeIyzC;7GeneMLST;ND;;NA		Poultry	Chicken	2010				Europe	Germany							IMT FU-Berlin		O2:K1	O2:K1:H4		Pathogen	APEC	Septicemia		NA	NA	Colibacillosis	NA	NA	2015-08-26	2015-08-26	ESC_AA1390AA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ESC_AA1391AA	A226	traces-0zTiIjk;7GeneMLST;ND;;NA		Human	Human	1978				Europe	United Kingdom							M. Achtman		O1:K1:H7/-	O1:H7:K1		Non pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA1391AA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ESC_AA1392AA	IMT4517	traces-0YXlqTF;7GeneMLST;ND;;NA		Poultry	Chicken	1990				Europe	Germany							IMT FU-Berlin		O2:K1	O2:K1:H7		Pathogen	APEC	Septicemia		NA	NA	Colibacillosis	NA	NA	2015-08-26	2015-08-26	ESC_AA1392AA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ESC_AA1393AA	A108	traces-0oGBCfj;7GeneMLST;ND;;NA		Human	Human	1979				Europe	Finland							M. Achtman		O1:K1:H7/-	O1:K1		Non pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA1393AA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ESC_AA1394AA	VM 781901	traces-0fHmPLi;7GeneMLST;ND;;NA		Companion animal	Dog	2009				Europe	Netherlands							IMT FU-Berlin		O18:K1:H7/-	O18:K1:H7		Pathogen	UPEC	UTI		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA1394AA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ESC_AA1395AA	A25 (D699)	traces-0wasWjL;7GeneMLST;ND;;NA		Human	Human	1941				Europe	Denmark							M. Achtman		O1:K1:H7/-	O1:H7:K1		Pathogen		UTI		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA1395AA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ESC_AA1396AA	IHE3035 (A148)	traces-0DUKOvg;7GeneMLST;ND;;NA		Human	Human	1977				Europe	Finland							Institute for  Hygiene and Microbiology, Wuerzburg			O18ac:K1:H7		Pathogen	ExPEC	Invasive		NA	NA	NBM	NA	NA	2015-08-26	2015-08-26	ESC_AA1396AA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ESC_AA1397AA	ISUNMEC48	traces-0ixlWdD;7GeneMLST;ND;;NA		Human	Human					Europe	Netherlands							Spanjaard					Pathogen		None		NA	NA	Meningitis	NA	NA	2015-08-26	2015-08-26	ESC_AA1397AA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ESC_AA1398AA	HMMC229	traces-0ngGZsc;7GeneMLST;ND;;NA		Human	Human	2005				South America	Brazil			Rio de Janeiro				Beatriz M Moreira					Pathogen	UPEC	UTI		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA1398AA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ESC_AA1399AA	IMT2297	traces-0rFThlM;7GeneMLST;ND;;NA		Poultry	Chicken	1999				Europe	Germany							L.Wieler, C.Ewers		O2:K1	O2:K1:H5		Pathogen	APEC	Septicemia		NA	NA	Septicemia	NA	NA	2015-08-26	2015-08-26	ESC_AA1399AA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ESC_AA1400AA	IMT12041	traces-0eAHBzm;7GeneMLST;ND;;NA		Poultry	Chicken	2006				Europe	Germany							IMT FU-Berlin		O1:K1:H7/-	O1:K1:H7		Pathogen	APEC	Septicemia		NA	NA	Colibacillosis	NA	NA	2015-08-26	2015-08-26	ESC_AA1400AA	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
