"","name","SEQUENCE","same_scaff"
"1","AVC171","1","card_baeR card_baeS card_mdtC card_mdtB card_mdtA card_ugd card_Escherichia_coli_emrE card_marA card_H-NS card_mdtH card_mdtG card_msbA card_Escherichia_coli_mdfA card_kdpE card_Escherichia_coli_acrA card_acrB card_Escherichia_coli_ampH card_Escherichia_coli_ampC card_eptA card_mdtN card_mdtO card_mdtP card_cpxA card_gadX card_gadW card_mdtF card_mdtE card_CRP card_acrF card_acrE card_acrS card_bacA card_tolC card_tet(B) card_emrB card_emrA card_emrR card_acrD card_evgS card_evgA card_emrK card_emrY card_pmrF card_yojI EC_custom_yeeT_|VFG1529 EC_custom_sitA_(gi:91210366)|VFG012573 EC_custom_iss_type1_pAPEC-O2-ColV EC_custom_usp_AB056439 EC_custom_fimH_CP015076.1 EC_custom_fecA_NC_000913.3 EC_custom_hek_|VFG1539 EC_custom_VGI-1_tRNA_modification_GTPase_TrmE EC_custom_gimB-marker_CP002167.1 EC_custom_kpsMT(II)_K2:CP000468.1:|APEC-O1|3376659-3378102 EC_custom_neuC_CP007275.1 EC_custom_papI_DQ095216.1 EC_custom_papB_CU928161 EC_custom_papA_CU928161 EC_custom_papH_CU928161 EC_custom_papC_CU928161 EC_custom_papD_CU928161 EC_custom_papJ_CU928161 EC_custom_papK_CU928161 EC_custom_papE_CU928161 EC_custom_papF_CU928161 EC_custom_papGII_DQ095216.1 EC_custom_tia_CU928161 EC_custom_malX_AF081286.1:c2588-1008 ISfinder_Feb_2020_IS1A:X52534 ISfinder_Feb_2020_IS100kyp:U59875 ISfinder_Feb_2020_ISEc38:AJ303141 ISfinder_Feb_2020_IS2:M18426 ISfinder_Feb_2020_IS10R:J01829 ISfinder_Feb_2020_IS200C:NC_004431 ISfinder_Feb_2020_ISSso4:NC_007385 ISfinder_Feb_2020_ISEc8:NC_004431 ISfinder_Feb_2020_ISEc23:[] ISfinder_Feb_2020_IS629:X51586 ISfinder_Feb_2020_IS30:X00792 ISfinder_Feb_2020_IS4321R:U67194 ISfinder_Feb_2020_MITEEc1:U00096 ISfinder_Feb_2020_ISSd1:M21947 ISfinder_Feb_2020_IS1F:X52538 ISfinder_Feb_2020_IS911:X17613 ISfinder_Feb_2020_IS4:J01733 ISfinder_Feb_2020_IS630:X05955 ISfinder_Feb_2020_IS1H:U15127 ISfinder_Feb_2020_IS1203:U06468 ISfinder_Feb_2020_ISEc48:ADUS01000070 ISfinder_Feb_2020_IS3:X02311 ISfinder_Feb_2020_ISEc45:NC_004431 ISfinder_Feb_2020_IS1397:X92970 vfdb_astA vfdb_ompA vfdb_entA vfdb_entB vfdb_entE vfdb_entC vfdb_fepB vfdb_entS vfdb_fepD vfdb_fepG vfdb_fepC vfdb_entF vfdb_fes vfdb_fepA vfdb_entD vfdb_fdeC vfdb_ykgK/ecpR vfdb_yagZ/ecpA vfdb_yagY/ecpB vfdb_yagX/ecpC vfdb_yagW/ecpD vfdb_yagV/ecpE vfdb_vat vfdb_fimH vfdb_fimG vfdb_fimF vfdb_fimD vfdb_fimC vfdb_fimI vfdb_fimA vfdb_fimE vfdb_fimB vfdb_aslA vfdb_chuV vfdb_chuU vfdb_chuY vfdb_chuX vfdb_chuW vfdb_chuT vfdb_chuA vfdb_chuS vfdb_gspC vfdb_gspD vfdb_gspE vfdb_gspF vfdb_gspG vfdb_gspH vfdb_gspI vfdb_gspJ vfdb_gspK vfdb_gspL vfdb_gspM vfdb_kpsM vfdb_kpsT vfdb_kpsD vfdb_papI vfdb_papB vfdb_papH vfdb_papC vfdb_papD vfdb_papJ vfdb_papK vfdb_papE vfdb_papF vfdb_papG"
"2","AVC171","2","card_dfrA5 card_sul1 EC_custom_hylF_CP000836.1 EC_custom_ompT_HM210637.1 EC_custom_etsA_KU578032 EC_custom_iss_type1_pAPEC-O2-ColV EC_custom_cvaA_AY545598.5 EC_custom_cvaB_AY545598.5 EC_custom_cvaC_X57525.1 EC_custom_cvi_AY545598.5 EC_custom_intI1_HQ730118.1 EC_custom_merA_CP022086.1 EC_custom_traT_CP018978.1 EC_custom_iutA_KU578032.1 EC_custom_iucD_AY545598.5 EC_custom_sitA_(gi:88770314)|VFG012575 ISfinder_Feb_2020_IS629:X51586 ISfinder_Feb_2020_IS2:M18426 ISfinder_Feb_2020_IS26:X00011 ISfinder_Feb_2020_IS4321R:U67194 ISfinder_Feb_2020_IS3:X02311 ISfinder_Feb_2020_ISSso4:NC_007385 ISfinder_Feb_2020_ISEc32:NC_011747 ISfinder_Feb_2020_IS1A:X52534 plasmidfinder_IncFII_1 vfdb_iroB vfdb_iroC vfdb_iroD vfdb_iroE vfdb_iroN vfdb_iucD vfdb_iucC vfdb_iucB vfdb_iucA"
"3","AVC171","3","ISfinder_Feb_2020_ISCro1:[] plasmidfinder_IncB/O/K/Z_1"
"4","AVC171","6","plasmidfinder_Col156_1"
"5","AVC171","7","plasmidfinder_Col156_1"
"6","AVC171","9","plasmidfinder_ColpVC_1"
"7","ESC_AA7971AA_AS","NODE_1_length_502766_cov_4.66906_ID_1","card_kdpE card_Escherichia_coli_mdfA card_msbA ISfinder_Feb_2020_MITEEc1:U00096 vfdb_entD vfdb_fepA vfdb_fes vfdb_entF vfdb_fepC vfdb_fepG vfdb_fepD vfdb_entS vfdb_fepB vfdb_entC vfdb_entE vfdb_entB vfdb_entA vfdb_ompA"
"8","ESC_AA7971AA_AS","NODE_10_length_159825_cov_4.73904_ID_19","EC_custom_usp_AB056439"
"9","ESC_AA7971AA_AS","NODE_11_length_143284_cov_4.74757_ID_21","card_acrF card_acrE card_acrS"
"10","ESC_AA7971AA_AS","NODE_12_length_139432_cov_6.13373_ID_23","ISfinder_Feb_2020_IS621:NC_009800 ISfinder_Feb_2020_IS1397:X92970"
"11","ESC_AA7971AA_AS","NODE_13_length_129355_cov_4.88629_ID_25","card_cpxA"
"12","ESC_AA7971AA_AS","NODE_14_length_122198_cov_6.13872_ID_27","EC_custom_yeeT_|VFG1529 EC_custom_fimH_CP015076.1 EC_custom_ibeA_AY248744.1 ISfinder_Feb_2020_IS1203:U06468 vfdb_fimB vfdb_fimE vfdb_fimI vfdb_fimC vfdb_fimD vfdb_fimF vfdb_fimG vfdb_fimH vfdb_ibeA"
"13","ESC_AA7971AA_AS","NODE_15_length_116712_cov_4.67937_ID_29","card_emrB card_emrA card_emrR"
"14","ESC_AA7971AA_AS","NODE_16_length_114687_cov_4.9899_ID_31","card_mdtG card_mdtH"
"15","ESC_AA7971AA_AS","NODE_17_length_113376_cov_4.74015_ID_33","vfdb_aslA"
"16","ESC_AA7971AA_AS","NODE_18_length_112688_cov_5.36201_ID_35","EC_custom_irp2_(gi:91211199)|VFG012549 EC_custom_fyuA_Z35106.1 vfdb_ybtS vfdb_ybtX vfdb_ybtQ vfdb_ybtP vfdb_ybtA vfdb_irp2 vfdb_irp1 vfdb_ybtU vfdb_ybtT vfdb_ybtE vfdb_fyuA"
"17","ESC_AA7971AA_AS","NODE_19_length_112004_cov_4.98141_ID_37","card_H-NS EC_custom_iss_type1_pAPEC-O2-ColV"
"18","ESC_AA7971AA_AS","NODE_2_length_422374_cov_5.01177_ID_3","card_Escherichia_coli_emrE card_marA"
"19","ESC_AA7971AA_AS","NODE_21_length_103962_cov_4.44789_ID_41","ISfinder_Feb_2020_IS200C:NC_004431"
"20","ESC_AA7971AA_AS","NODE_22_length_85949_cov_5.17697_ID_43","EC_custom_hek_|VFG1539"
"21","ESC_AA7971AA_AS","NODE_24_length_78416_cov_4.96761_ID_47","card_emrY card_emrK card_evgA card_evgS"
"22","ESC_AA7971AA_AS","NODE_26_length_48322_cov_7.81222_ID_51","ISfinder_Feb_2020_IS682:NC_002695 ISfinder_Feb_2020_ISKpn37:KU318421 vfdb_cnf1 vfdb_hlyD vfdb_hlyB vfdb_hlyA vfdb_hlyC"
"23","ESC_AA7971AA_AS","NODE_27_length_45464_cov_4.78494_ID_53","card_acrD"
"24","ESC_AA7971AA_AS","NODE_29_length_32302_cov_5.31294_ID_57","ISfinder_Feb_2020_ISEc38:AJ303141 ISfinder_Feb_2020_ISEc20:NZ_AAJU01000001 ISfinder_Feb_2020_IS100kyp:U59875"
"25","ESC_AA7971AA_AS","NODE_3_length_419790_cov_4.9929_ID_5","card_pmrF card_yojI card_baeR card_baeS card_mdtC card_mdtB card_mdtA card_ugd EC_custom_yeeT_|VFG1529"
"26","ESC_AA7971AA_AS","NODE_33_length_29536_cov_4.74429_ID_65","card_Escherichia_coli_ampC"
"27","ESC_AA7971AA_AS","NODE_36_length_22718_cov_9.02434_ID_71","vfdb_sfaC vfdb_sfaB vfdb_sfaA vfdb_sfaD vfdb_sfaE vfdb_sfaF vfdb_sfaG vfdb_sfaS vfdb_sfaH vfdb_sfaY"
"28","ESC_AA7971AA_AS","NODE_37_length_20924_cov_3.05139_ID_73","ISfinder_Feb_2020_ISEc53:HG941718 ISfinder_Feb_2020_IS21:X14793 plasmidfinder_IncFIB(AP001918)_1"
"29","ESC_AA7971AA_AS","NODE_38_length_19198_cov_6.03401_ID_75","ISfinder_Feb_2020_ISEc13:DQ388534 vfdb_iroB vfdb_iroC vfdb_iroD vfdb_iroE vfdb_iroN"
"30","ESC_AA7971AA_AS","NODE_39_length_18279_cov_2.38463_ID_77","ISfinder_Feb_2020_ISEc10:NC_004431 plasmidfinder_Col156_1 vfdb_senB"
"31","ESC_AA7971AA_AS","NODE_4_length_359549_cov_4.83822_ID_7","card_mdtP card_mdtO card_mdtN card_eptA EC_custom_malX_AF081286.1:c2588-1008 ISfinder_Feb_2020_MITEEc1:U00096"
"32","ESC_AA7971AA_AS","NODE_40_length_15900_cov_6.9491_ID_79","EC_custom_sitA_(gi:91210366)|VFG012573"
"33","ESC_AA7971AA_AS","NODE_42_length_9405_cov_8.08691_ID_83","EC_custom_papGIII_CP010151.1|3421241-3422500 EC_custom_papF_CU928161 EC_custom_papK_CU928161 EC_custom_papJ_CU928161 EC_custom_papD_CU928161 EC_custom_papC_CU928161 EC_custom_papH_CU928161 EC_custom_papB_CU928161 vfdb_papF vfdb_papK vfdb_papJ vfdb_papD vfdb_papC vfdb_papH vfdb_papB"
"34","ESC_AA7971AA_AS","NODE_5_length_267367_cov_4.92213_ID_9","EC_custom_VGI-1_tRNA_modification_GTPase_TrmE"
"35","ESC_AA7971AA_AS","NODE_6_length_246153_cov_5.28209_ID_11","card_CRP card_mdtE card_mdtF card_gadW card_gadX EC_custom_gimB-marker_CP002167.1 vfdb_chuS vfdb_chuA vfdb_chuT vfdb_chuW vfdb_chuX vfdb_chuY vfdb_chuU vfdb_chuV"
"36","ESC_AA7971AA_AS","NODE_60_length_1421_cov_13.6796_ID_119","ISfinder_Feb_2020_ISEc45:NC_004431"
"37","ESC_AA7971AA_AS","NODE_7_length_213053_cov_5.31765_ID_13","card_tolC card_bacA EC_custom_neuC_CP007275.1 EC_custom_kpsMT(II)_K2:CP000468.1:|APEC-O1|3376659-3378102 vfdb_kpsD vfdb_kpsT vfdb_kpsM vfdb_gspM vfdb_gspL vfdb_gspK vfdb_gspJ vfdb_gspI vfdb_gspH vfdb_gspG vfdb_gspF vfdb_gspE vfdb_gspD vfdb_gspC"
"38","ESC_AA7971AA_AS","NODE_74_length_768_cov_16.9751_ID_147","ISfinder_Feb_2020_IS1A:X52534"
"39","ESC_AA7971AA_AS","NODE_8_length_175567_cov_5.5928_ID_15","vfdb_vat vfdb_yagV/ecpE vfdb_yagW/ecpD vfdb_yagX/ecpC vfdb_yagY/ecpB vfdb_yagZ/ecpA vfdb_ykgK/ecpR vfdb_fdeC"
"40","ESC_AA7971AA_AS","NODE_9_length_171182_cov_4.5156_ID_17","card_Escherichia_coli_ampH card_acrB card_Escherichia_coli_acrA"
"41","ESC_AA9421AA_AS","NODE_1_length_527776_cov_4.01376_ID_1","card_mdtH card_mdtG card_msbA card_Escherichia_coli_mdfA card_kdpE EC_custom_iss_type1_pAPEC-O2-ColV ISfinder_Feb_2020_MITEEc1:U00096 vfdb_ompA"
"42","ESC_AA9421AA_AS","NODE_10_length_172567_cov_4.33745_ID_19","card_Escherichia_coli_ampH card_acrB card_Escherichia_coli_acrA"
"43","ESC_AA9421AA_AS","NODE_11_length_136866_cov_5.54486_ID_21","EC_custom_fecA_NC_000913.3 EC_custom_yeeT_|VFG1529 EC_custom_fimH_CP015076.1 ISfinder_Feb_2020_IS4:J01733 ISfinder_Feb_2020_IS911:X17613 ISfinder_Feb_2020_ISSd1:M21947 ISfinder_Feb_2020_IS1F:X52538 ISfinder_Feb_2020_IS100kyp:U59875 vfdb_fimB vfdb_fimE vfdb_fimA vfdb_fimI vfdb_fimC vfdb_fimD vfdb_fimF vfdb_fimG vfdb_fimH"
