"","name","SEQUENCE","same_scaff"
"1","AVC171","1","EC_custom_Feb_2020_yeeT_|VFG1529 EC_custom_Feb_2020_sitA_(gi:91210366)|VFG012573 EC_custom_Feb_2020_usp_AB056439 EC_custom_Feb_2020_fimH_CP015076.1 EC_custom_Feb_2020_fecA_NC_000913.3 EC_custom_Feb_2020_hek_|VFG1539 EC_custom_Feb_2020_gimB-marker_CP002167.1 EC_custom_Feb_2020_kpsMT(II)_K2:CP000468.1:|APEC-O1|3376659-3378102 EC_custom_Feb_2020_neuC_CP007275.1 EC_custom_Feb_2020_papI_DQ095216.1 EC_custom_Feb_2020_papB_CU928161 EC_custom_Feb_2020_papA_CU928161 EC_custom_Feb_2020_papH_CU928161 EC_custom_Feb_2020_papC_CU928161 EC_custom_Feb_2020_papD_CU928161 EC_custom_Feb_2020_papJ_CU928161 EC_custom_Feb_2020_papK_CU928161 EC_custom_Feb_2020_papE_CU928161 EC_custom_Feb_2020_papF_CU928161 EC_custom_Feb_2020_papGII_DQ095216.1 EC_custom_Feb_2020_tia_CU928161 EC_custom_Feb_2020_malX_AF081286.1:c2588-1008 ISfinder_Feb_2020_IS1A:X52534 ISfinder_Feb_2020_IS100kyp:U59875 ISfinder_Feb_2020_ISEc38:AJ303141 ISfinder_Feb_2020_IS2:M18426 ISfinder_Feb_2020_IS10R:J01829 ISfinder_Feb_2020_IS200C:NC_004431 ISfinder_Feb_2020_ISSso4:NC_007385 ISfinder_Feb_2020_ISEc8:NC_004431 ISfinder_Feb_2020_ISEc23:[] ISfinder_Feb_2020_IS629:X51586 ISfinder_Feb_2020_IS30:X00792 ISfinder_Feb_2020_IS4321R:U67194 ISfinder_Feb_2020_MITEEc1:U00096 ISfinder_Feb_2020_ISSd1:M21947 ISfinder_Feb_2020_IS1F:X52538 ISfinder_Feb_2020_IS911:X17613 ISfinder_Feb_2020_IS4:J01733 ISfinder_Feb_2020_IS630:X05955 ISfinder_Feb_2020_IS1H:U15127 ISfinder_Feb_2020_IS1203:U06468 ISfinder_Feb_2020_ISEc48:ADUS01000070 ISfinder_Feb_2020_IS3:X02311 ISfinder_Feb_2020_ISEc45:NC_004431 ISfinder_Feb_2020_IS1397:X92970 card_baeR card_baeS card_mdtC card_mdtB card_mdtA card_ugd card_Escherichia_coli_emrE card_marA card_H-NS card_mdtH card_mdtG card_msbA card_Escherichia_coli_mdfA card_kdpE card_Escherichia_coli_acrA card_acrB card_Escherichia_coli_ampH card_Escherichia_coli_ampC card_eptA card_mdtN card_mdtO card_mdtP card_cpxA card_gadX card_gadW card_mdtF card_mdtE card_CRP card_acrF card_acrE card_acrS card_bacA card_tolC card_tet(B) card_emrB card_emrA card_emrR card_acrD card_evgS card_evgA card_emrK card_emrY card_pmrF card_yojI ecoh_wzy-O153var1 ecoh_wzx-O153var1 ecoh_fliC-H7 vfdb_astA vfdb_ompA vfdb_entA vfdb_entB vfdb_entE vfdb_entC vfdb_fepB vfdb_entS vfdb_fepD vfdb_fepG vfdb_fepC vfdb_entF vfdb_fes vfdb_fepA vfdb_entD vfdb_fdeC vfdb_ykgK/ecpR vfdb_yagZ/ecpA vfdb_yagY/ecpB vfdb_yagX/ecpC vfdb_yagW/ecpD vfdb_yagV/ecpE vfdb_vat vfdb_fimH vfdb_fimG vfdb_fimF vfdb_fimD vfdb_fimC vfdb_fimI vfdb_fimA vfdb_fimE vfdb_fimB vfdb_aslA vfdb_chuV vfdb_chuU vfdb_chuY vfdb_chuX vfdb_chuW vfdb_chuT vfdb_chuA vfdb_chuS vfdb_gspC vfdb_gspD vfdb_gspE vfdb_gspF vfdb_gspG vfdb_gspH vfdb_gspI vfdb_gspJ vfdb_gspK vfdb_gspL vfdb_gspM vfdb_kpsM vfdb_kpsT vfdb_kpsD vfdb_papI vfdb_papB vfdb_papH vfdb_papC vfdb_papD vfdb_papJ vfdb_papK vfdb_papE vfdb_papF vfdb_papG"
"2","AVC171","2","EC_custom_Feb_2020_hylF_CP000836.1 EC_custom_Feb_2020_ompT_HM210637.1 EC_custom_Feb_2020_etsA_KU578032 EC_custom_Feb_2020_cvaA_AY545598.5 EC_custom_Feb_2020_cvaB_AY545598.5 EC_custom_Feb_2020_cvaC_X57525.1 EC_custom_Feb_2020_cvi_AY545598.5 EC_custom_Feb_2020_intI1_HQ730118.1 EC_custom_Feb_2020_merA_CP022086.1 EC_custom_Feb_2020_traT_CP018978.1 EC_custom_Feb_2020_iutA_KU578032.1 EC_custom_Feb_2020_iucD_AY545598.5 EC_custom_Feb_2020_sitA_(gi:88770314)|VFG012575 ISfinder_Feb_2020_IS629:X51586 ISfinder_Feb_2020_IS2:M18426 ISfinder_Feb_2020_IS26:X00011 ISfinder_Feb_2020_IS4321R:U67194 ISfinder_Feb_2020_IS3:X02311 ISfinder_Feb_2020_ISSso4:NC_007385 ISfinder_Feb_2020_ISEc32:NC_011747 ISfinder_Feb_2020_IS1A:X52534 card_dfrA5 card_sul1 plasmidfinder_IncFII_1 vfdb_iroB vfdb_iroC vfdb_iroD vfdb_iroE vfdb_iroN vfdb_iucD vfdb_iucC vfdb_iucB vfdb_iucA"
"3","AVC171","3","ISfinder_Feb_2020_ISCro1:[] plasmidfinder_IncB/O/K/Z_1"
"4","AVC171","6","plasmidfinder_Col156_1"
"5","AVC171","7","plasmidfinder_Col156_1"
"6","AVC171","9","plasmidfinder_ColpVC_1"
"7","ESC_BA8511AA_AS","NODE_1_length_687543_cov_5.87334_ID_1","EC_custom_Feb_2020_yeeT_|VFG1529 ISfinder_Feb_2020_IS621:NC_009800 ISfinder_Feb_2020_IS1397:X92970 card_ugd card_mdtA card_mdtB card_mdtC card_baeS card_baeR card_yojI card_pmrF card_emrY card_emrK card_evgA card_evgS card_acrD ecoh_wzy-O1 ecoh_wzx-O1"
"8","ESC_BA8511AA_AS","NODE_10_length_175988_cov_7.42157_ID_19","EC_custom_Feb_2020_yeeT_|VFG1529 card_eptA card_mdtN card_mdtO card_mdtP"
"9","ESC_BA8511AA_AS","NODE_105_length_820_cov_13.6347_ID_209","ISfinder_Feb_2020_IS26:X00011"
"10","ESC_BA8511AA_AS","NODE_12_length_129450_cov_7.19366_ID_23","card_cpxA"
