snp-dists 0.6.3,ESC_NA3973AA_AS.out,ESC_NA3974AA_AS.out,ESC_NA3975AA_AS.out,ESC_NA3999AA_AS.out,ESC_NA4000AA_AS.out,ESC_NA4003AA_AS.out,ESC_NA4004AA_AS.out,ESC_NA4005AA_AS.out,ESC_NA4045AA_AS.out,ESC_NA4061AA_AS.out,ESC_NA4066AA_AS.out,ESC_NA4067AA_AS.out,ESC_NA4068AA_AS.out,ESC_NA4069AA_AS.out,ESC_NA4070AA_AS.out,ESC_NA4071AA_AS.out,ESC_NA4072AA_AS.out,Reference
ESC_NA3973AA_AS.out,0,16,54,22,27,26,16,27,14,16,26,13,16,18,9,19,14,14
ESC_NA3974AA_AS.out,16,0,52,20,19,22,16,27,18,14,26,11,14,18,13,5,10,18
ESC_NA3975AA_AS.out,54,52,0,54,55,56,50,59,48,52,64,55,56,56,51,53,52,48
ESC_NA3999AA_AS.out,22,20,54,0,21,22,14,25,14,16,32,17,22,26,17,21,18,14
ESC_NA4000AA_AS.out,27,19,55,21,0,25,19,30,21,21,37,22,25,29,24,22,21,21
ESC_NA4003AA_AS.out,26,22,56,22,25,0,10,23,16,22,38,23,24,28,23,23,20,16
ESC_NA4004AA_AS.out,16,16,50,14,19,10,0,15,8,12,30,15,20,24,15,19,16,8
ESC_NA4005AA_AS.out,27,27,59,25,30,23,15,0,17,25,35,24,31,31,22,28,27,17
ESC_NA4045AA_AS.out,14,18,48,14,21,16,8,17,0,14,26,15,20,20,11,19,16,0
ESC_NA4061AA_AS.out,16,14,52,16,21,22,12,25,14,0,28,13,18,22,13,17,14,14
ESC_NA4066AA_AS.out,26,26,64,32,37,38,30,35,26,28,0,23,30,30,21,25,26,26
ESC_NA4067AA_AS.out,13,11,55,17,22,23,15,24,15,13,23,0,15,17,8,12,7,15
ESC_NA4068AA_AS.out,16,14,56,22,25,24,20,31,20,18,30,15,0,20,15,15,12,20
ESC_NA4069AA_AS.out,18,18,56,26,29,28,24,31,20,22,30,17,20,0,13,19,14,20
ESC_NA4070AA_AS.out,9,13,51,17,24,23,15,22,11,13,21,8,15,13,0,14,9,11
ESC_NA4071AA_AS.out,19,5,53,21,22,23,19,28,19,17,25,12,15,19,14,0,11,19
ESC_NA4072AA_AS.out,14,10,52,18,21,20,16,27,16,14,26,7,12,14,9,11,0,16
Reference,14,18,48,14,21,16,8,17,0,14,26,15,20,20,11,19,16,0
