snp-dists 0.6.3,ESC_NA3973AA_AS.out,ESC_NA3974AA_AS.out,ESC_NA3975AA_AS.out,ESC_NA3999AA_AS.out,ESC_NA4000AA_AS.out,ESC_NA4003AA_AS.out,ESC_NA4004AA_AS.out,ESC_NA4005AA_AS.out,ESC_NA4067AA_AS.out,ESC_NA4068AA_AS.out,ESC_NA4069AA_AS.out,ESC_NA4070AA_AS.out,ESC_NA4071AA_AS.out,ESC_NA4072AA_AS.out,Reference
ESC_NA3973AA_AS.out,0,21,56,27,30,31,19,32,13,19,20,11,22,18,17
ESC_NA3974AA_AS.out,21,0,57,28,27,30,24,35,16,22,23,20,13,19,24
ESC_NA3975AA_AS.out,56,57,0,57,60,59,55,62,57,61,56,53,58,56,49
ESC_NA3999AA_AS.out,27,28,57,0,23,22,16,25,22,24,29,20,23,19,18
ESC_NA4000AA_AS.out,30,27,60,23,0,27,19,32,25,25,34,27,22,22,27
ESC_NA4003AA_AS.out,31,30,59,22,27,0,12,23,28,26,31,26,25,21,20
ESC_NA4004AA_AS.out,19,24,55,16,19,12,0,17,18,20,29,18,19,17,14
ESC_NA4005AA_AS.out,32,35,62,25,32,23,17,0,29,33,34,25,30,28,21
ESC_NA4067AA_AS.out,13,16,57,22,25,28,18,29,0,18,19,10,15,11,18
ESC_NA4068AA_AS.out,19,22,61,24,25,26,20,33,18,0,25,18,15,13,26
ESC_NA4069AA_AS.out,20,23,56,29,34,31,29,34,19,25,0,15,24,18,21
ESC_NA4070AA_AS.out,11,20,53,20,27,26,18,25,10,18,15,0,17,11,14
ESC_NA4071AA_AS.out,22,13,58,23,22,25,19,30,15,15,24,17,0,12,25
ESC_NA4072AA_AS.out,18,19,56,19,22,21,17,28,11,13,18,11,12,0,21
Reference,17,24,49,18,27,20,14,21,18,26,21,14,25,21,0
