snp-dists 0.6.3,ESC_NA3973AA_AS.out,ESC_NA3974AA_AS.out,ESC_NA3975AA_AS.out,ESC_NA3999AA_AS.out,ESC_NA4000AA_AS.out,ESC_NA4003AA_AS.out,ESC_NA4004AA_AS.out,ESC_NA4005AA_AS.out,ESC_NA4067AA_AS.out,ESC_NA4068AA_AS.out,ESC_NA4069AA_AS.out,ESC_NA4070AA_AS.out,ESC_NA4071AA_AS.out,ESC_NA4072AA_AS.out,Reference
ESC_NA3973AA_AS.out,0,16,55,21,28,27,18,27,13,18,18,9,17,13,13
ESC_NA3974AA_AS.out,16,0,55,21,22,23,18,29,13,12,20,13,7,11,13
ESC_NA3975AA_AS.out,55,55,0,56,59,56,53,60,58,57,55,52,56,54,52
ESC_NA3999AA_AS.out,21,21,56,0,23,24,17,28,20,23,29,18,24,18,16
ESC_NA4000AA_AS.out,28,22,59,23,0,27,20,33,21,24,32,27,23,23,23
ESC_NA4003AA_AS.out,27,23,56,24,27,0,11,26,26,25,29,24,28,22,22
ESC_NA4004AA_AS.out,18,18,53,17,20,11,0,17,15,18,26,17,21,19,13
ESC_NA4005AA_AS.out,27,29,60,28,33,26,17,0,28,31,33,24,30,30,24
ESC_NA4067AA_AS.out,13,13,58,20,21,26,15,28,0,15,21,12,14,10,14
ESC_NA4068AA_AS.out,18,12,57,23,24,25,18,31,15,0,22,15,15,13,15
ESC_NA4069AA_AS.out,18,20,55,29,32,29,26,33,21,22,0,15,23,17,21
ESC_NA4070AA_AS.out,9,13,52,18,27,24,17,24,12,15,15,0,18,10,12
ESC_NA4071AA_AS.out,17,7,56,24,23,28,21,30,14,15,23,18,0,14,16
ESC_NA4072AA_AS.out,13,11,54,18,23,22,19,30,10,13,17,10,14,0,14
Reference,13,13,52,16,23,22,13,24,14,15,21,12,16,14,0
