Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Comment	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Differences	ST	HC0 (indistinguishable)	HC2	HC5	HC10	HC20	HC50	HC100	HC200	HC400	HC1100 (cgST Cplx)	HC1500	HC2000	HC2350 (subsp.)
ESC_BA7670AA	eo1679	ERR435341;ILLUMINA;Paired;227;ERX401616																THE SANGER CENTER	Escherichia coli								PRJEB4681	ERP003992		SAMEA2205187	ERS357698	2015-08-27	2014-05-14	ESC_BA7670AA	NaN	9838	9838	9838	9838	9838	9838	1106	1104	1104	44	44	44	1	1
ESC_CA9632AA	BS14	traces-0FKfrhe;ILLUMINA;Paired;;NA	Human	Human	Blood	2015				Oceania	Australia	Australian Capital Territory		Canberra				David Gordon	Escherichia coli				Pathogen	ExPEC	Septicemia				Septicemia			2016-04-05	2016-10-04	ESC_CA9632AA	NaN	1106	1106	1106	1106	1106	1106	1106	1104	1104	44	44	44	1	1
ESC_DA4337AA	PA70B	ERR445635;ILLUMINA;Paired;367;ERX412399																AIDRC	Escherichia coli								PRJEB5742	ERP005166		SAMEA2392734	ERS416954	2016-07-01	2016-03-11	ESC_DA4337AA	NaN	26478	26478	26478	26478	26478	22010	1106	1104	1104	44	44	44	1	1
ESC_DA4339AA	PA47B	ERR445633;ILLUMINA;Paired;374;ERX412397																AIDRC	Escherichia coli								PRJEB5742	ERP005166		SAMEA2392732	ERS416952	2016-07-01	2016-03-11	ESC_DA4339AA	NaN	26476	26476	26476	26476	26476	26404	1106	1104	1104	44	44	44	1	1
ESC_DA4344AA	PA11B	ERR445628;ILLUMINA;Paired;393;ERX412392																AIDRC	Escherichia coli								PRJEB5742	ERP005166		SAMEA2392727	ERS416947	2016-07-01	2016-03-11	ESC_DA4344AA	NaN	26471	26471	26471	26471	26404	26404	1106	1104	1104	44	44	44	1	1
ESC_DA4346AA	PA63B	ERR445626;ILLUMINA;Paired;374;ERX412390																AIDRC	Escherichia coli								PRJEB5742	ERP005166		SAMEA2392725	ERS416945	2016-07-01	2016-03-11	ESC_DA4346AA	NaN	26469	26469	26469	26469	26469	26469	1106	1104	1104	44	44	44	1	1
ESC_DA4364AA	PA28B	ERR445608;ILLUMINA;Paired;392;ERX412372																AIDRC	Escherichia coli								PRJEB5742	ERP005166		SAMEA2392707	ERS416927	2016-07-01	2016-03-11	ESC_DA4364AA	NaN	26404	26404	26404	26404	26404	26404	1106	1104	1104	44	44	44	1	1
ESC_DA4374AA	PA8B	ERR445598;ILLUMINA;Paired;388;ERX412362																AIDRC	Escherichia coli								PRJEB5742	ERP005166		SAMEA2392697	ERS416917	2016-07-01	2016-03-11	ESC_DA4374AA	NaN	26393	26393	26393	26393	26393	9838	1106	1104	1104	44	44	44	1	1
ESC_EA4696AA	1.10-R8	SRR4067502;ILLUMINA;Paired;;SRX2054706	Human	Human	Homo sapiens; human faeces	2012				Oceania	Australia	New South Wales		Sydney				University of Melbourne	Escherichia coli								PRJNA335932	SRP082992		SAMN05567340	SRS1646779	2016-09-02	2016-09-01	ESC_EA4696AA	NaN	29942	29942	29942	29942	29942	26404	1106	1104	1104	44	44	44	1	1
ESC_EA8089AA	231b2b60-fa7c-11e5-a546-3c4a9275d6c8	ERR1622055;ILLUMINA;Paired;457;ERX1692420																SC	Escherichia coli								PRJEB12887	ERP014412		SAMEA3981009	ERS1152119	2016-10-02	2016-09-30	ESC_EA8089AA	NaN	32149	32149	32149	32149	32149	32149	1106	1104	1104	44	44	44	1	1
ESC_FA6332AA	f1e036c0-fa7c-11e5-bdd4-3c4a9275d6c8	ERR1790973;ILLUMINA;Paired;441;ERX1854696																SC	Escherichia coli								PRJEB12887	ERP014412		SAMEA4062549	ERS1233659	2017-01-15	2017-01-12	ESC_FA6332AA	NaN	39881	39881	39881	39881	39881	39881	1106	1104	1104	44	44	44	1	1
ESC_FA8491AA	6895a250-7fd4-11e6-b8fe-3c4a9275d6c8	ERR1822528;ILLUMINA;Paired;461;ERX1885030																SC	Escherichia coli								PRJEB15430	ERP017161		SAMEA4470164	ERS1369343	2017-02-14	2017-02-09	ESC_FA8491AA	NaN	41017	41017	41017	41017	41017	41017	1106	1104	1104	44	44	44	1	1
ESC_FA8499AA	6844c330-7fd4-11e6-b8fe-3c4a9275d6c8	ERR1822520;ILLUMINA;Paired;464;ERX1885022																SC	Escherichia coli								PRJEB15430	ERP017161		SAMEA4470156	ERS1369335	2017-02-14	2017-02-09	ESC_FA8499AA	NaN	40776	40776	40776	40776	40776	40776	1106	1104	1104	44	44	44	1	1
ESC_FA9024AA	7afe2890-7fd4-11e6-b8fe-3c4a9275d6c8	ERR1852602;ILLUMINA;Paired;440;ERX1914580																SC	Escherichia coli								PRJEB15430	ERP017161		SAMEA4470276	ERS1369455	2017-02-22	2017-02-22	ESC_FA9024AA	NaN	42876	42876	42876	42876	42876	42876	1106	1104	1104	44	44	44	1	1
ESC_GA4494AA	W4-33	SRR5512250;ILLUMINA;Paired;;SRX2786219	Animal Feed		Poultry; Retail poultry meat	2014				Oceania	Australia							The Australian National University	Escherichia coli								PRJNA385370	SRP106504		SAMN06893793	SRS2168223	2017-05-05	2017-05-05	ESC_GA4494AA	NaN	45089	45089	45006	45005	26478	22010	1106	1104	1104	44	44	44	1	1
ESC_GA4495AA	W4-32	SRR5512249;ILLUMINA;Paired;;SRX2786218	Animal Feed		Poultry; Retail poultry meat	2014				Oceania	Australia							The Australian National University	Escherichia coli								PRJNA385370	SRP106504		SAMN06893792	SRS2168222	2017-05-05	2017-05-05	ESC_GA4495AA	NaN	45081	45081	45005	45005	26478	22010	1106	1104	1104	44	44	44	1	1
ESC_GA4496AA	W2-53	SRR5512248;ILLUMINA;Paired;;SRX2786217	Animal Feed		Poultry; Retail poultry meat	2014				Oceania	Australia							The Australian National University	Escherichia coli								PRJNA385370	SRP106504		SAMN06893791	SRS2168221	2017-05-05	2017-05-05	ESC_GA4496AA	NaN	45082	45082	45082	45005	26478	22010	1106	1104	1104	44	44	44	1	1
ESC_GA4497AA	W2-49	SRR5512247;ILLUMINA;Paired;;SRX2786216	Animal Feed		Poultry; Retail poultry meat	2014				Oceania	Australia							The Australian National University	Escherichia coli								PRJNA385370	SRP106504		SAMN06893790	SRS2168220	2017-05-05	2017-05-05	ESC_GA4497AA	NaN	45083	45083	45083	45005	26478	22010	1106	1104	1104	44	44	44	1	1
ESC_GA4498AA	W2-47	SRR5512246;ILLUMINA;Paired;;SRX2786215	Animal Feed		Poultry; Retail poultry meat	2014				Oceania	Australia							The Australian National University	Escherichia coli								PRJNA385370	SRP106504		SAMN06893789	SRS2168219	2017-05-05	2017-05-05	ESC_GA4498AA	NaN	45084	45084	45006	45005	26478	22010	1106	1104	1104	44	44	44	1	1
ESC_GA4499AA	W1-58	SRR5512245;ILLUMINA;Paired;;SRX2786214	Animal Feed		Poultry; Retail poultry meat	2014				Oceania	Australia							The Australian National University	Escherichia coli								PRJNA385370	SRP106504		SAMN06893788	SRS2168217	2017-05-05	2017-05-05	ESC_GA4499AA	NaN	45093	45093	45006	45005	26478	22010	1106	1104	1104	44	44	44	1	1
