"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"group_12342","","hypothetical protein","70","87","6","505","92.1052631579","85.3040540541","67.7203065134","3.74242149232e-43","8.34971659152e-39","8.34971659152e-39"
"group_12823","","hypothetical protein","56","40","20","552","73.6842105263","93.2432432432","38.64","2.39454609795e-38","5.34247179913e-34","2.67123589957e-34"
"group_8188","","hypothetical protein","72","137","4","455","94.7368421053","76.8581081081","59.7810218978","1.00730997828e-35","2.24740929254e-31","7.49136430847e-32"
"yeeE","","putative transport system permease protein","73","149","3","443","96.0526315789","74.8310810811","72.3467561521","3.23966451442e-35","7.22801549813e-31","1.44560309963e-31"
"group_21461","","hypothetical protein","3","443","73","149","3.94736842105","25.1689189189","0.0138223197996","3.23966451442e-35","7.22801549813e-31","1.44560309963e-31"
"ugpB_1","","glycerol-3-phosphate / glycerol-2-phosphate ABC transporter - putative periplasmic binding protein","53","40","23","552","69.7368421053","93.2432432432","31.8","8.31427764753e-35","1.85499848594e-30","1.68636225995e-31"
"group_12822","insC-1_2","IS2 element protein InsA","53","40","23","552","69.7368421053","93.2432432432","31.8","8.31427764753e-35","1.85499848594e-30","1.68636225995e-31"
"group_12821","","hypothetical protein","53","40","23","552","69.7368421053","93.2432432432","31.8","8.31427764753e-35","1.85499848594e-30","1.68636225995e-31"
"group_12819","","hypothetical protein","53","40","23","552","69.7368421053","93.2432432432","31.8","8.31427764753e-35","1.85499848594e-30","1.68636225995e-31"
"murR_3","","MurR-MurNAc-6-P","53","40","23","552","69.7368421053","93.2432432432","31.8","8.31427764753e-35","1.85499848594e-30","1.68636225995e-31"
"group_10641","","hypothetical protein","53","40","23","552","69.7368421053","93.2432432432","31.8","8.31427764753e-35","1.85499848594e-30","1.68636225995e-31"
"group_10642","nanE_1","putative N-acetylmannosamine-6-phosphate epimerase","52","37","24","555","68.4210526316","93.75","32.5","1.01535764096e-34","2.26536443275e-30","1.88780369396e-31"
"insD","","Qin prophage; predicted transposase","53","41","23","551","69.7368421053","93.0743243243","30.9681866384","1.83150807681e-34","4.08627767017e-30","3.14329051552e-31"
"group_12817","","hypothetical protein","51","40","25","552","67.1052631579","93.2432432432","28.152","1.48953985919e-32","3.32331237985e-28","1.74911177887e-29"
