#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_NA4069AA_AS.fasta	NODE_101_length_5892_cov_9.35143	2934	3183	+	ISSfl3:AL391753	1-249/2729	==....../......	2/5	9.05	76.19	ISfinder_Feb_2020		ISSfl3:AL391753	
ESC_NA4069AA_AS.fasta	NODE_101_length_5892_cov_9.35143	3257	4138	+	ISEc8:NC_004431	1-882/2442	======.........	0/0	36.12	98.87	ISfinder_Feb_2020		ISEc8:NC_004431	
ESC_NA4069AA_AS.fasta	NODE_101_length_5892_cov_9.35143	4139	4357	-	ISEc47:AIFX01000063	2323-2541/2541	.............==	0/0	8.62	99.54	ISfinder_Feb_2020		ISEc47:AIFX01000063	
ESC_NA4069AA_AS.fasta	NODE_101_length_5892_cov_9.35143	4357	5765	+	ISEc45:NC_004431	1-1409/1447	===============	0/0	97.37	99.93	ISfinder_Feb_2020		ISEc45:NC_004431	
ESC_NA4069AA_AS.fasta	NODE_101_length_5892_cov_9.35143	5766	5892	-	IS10L:J01829	1203-1329/1329	.............==	0/0	9.56	98.42	ISfinder_Feb_2020		IS10L:J01829	
ESC_NA4069AA_AS.fasta	NODE_103_length_5681_cov_9.80825	4286	4710	+	IS21:X14793	1-425/2131	===............	0/0	19.94	99.29	ISfinder_Feb_2020		IS21:X14793	
ESC_NA4069AA_AS.fasta	NODE_103_length_5681_cov_9.80825	4710	4875	+	IS640:HE616528	1965-2130/2130	.............==	0/0	7.79	99.40	ISfinder_Feb_2020		IS640:HE616528	
ESC_NA4069AA_AS.fasta	NODE_103_length_5681_cov_9.80825	5555	5681	-	IS1S:M37615	642-768/768	............===	0/0	16.54	100.00	ISfinder_Feb_2020		IS1S:M37615	
ESC_NA4069AA_AS.fasta	NODE_104_length_5434_cov_8.17241	1	174	-	IS10R:J01829	1-174/1329	==.............	0/0	13.09	100.00	ISfinder_Feb_2020		IS10R:J01829	
ESC_NA4069AA_AS.fasta	NODE_104_length_5434_cov_8.17241	206	2514	-	ISEc23:[]	1-2329/2532	========/=====.	3/22	91.15	97.55	ISfinder_Feb_2020		ISEc23:[]	
ESC_NA4069AA_AS.fasta	NODE_104_length_5434_cov_8.17241	2515	3782	+	ISEch14:CP002038	368-1634/1666	...=====/======	3/3	75.99	79.67	ISfinder_Feb_2020		ISEch14:CP002038	
ESC_NA4069AA_AS.fasta	NODE_104_length_5434_cov_8.17241	3808	4256	+	IS91:X17114	1390-1829/1829	......../..====	4/13	23.95	81.15	ISfinder_Feb_2020		IS91:X17114	
ESC_NA4069AA_AS.fasta	NODE_107_length_4981_cov_13.8966	2722	3305	-	IS1A:X52534	185-768/768	...============	0/0	76.04	99.83	ISfinder_Feb_2020		IS1A:X52534	
ESC_NA4069AA_AS.fasta	NODE_10_length_120138_cov_8.1869	81852	82024	-	IS4:J01733	1254-1426/1426	.............==	0/0	12.13	98.84	ISfinder_Feb_2020		IS4:J01733	
ESC_NA4069AA_AS.fasta	NODE_10_length_120138_cov_8.1869	82014	82996	-	IS4:J01733	1-983/1426	===========....	0/0	68.93	97.66	ISfinder_Feb_2020		IS4:J01733	
ESC_NA4069AA_AS.fasta	NODE_110_length_4660_cov_9.81072	2044	3997	+	IS100kyp:U59875	1-1954/1954	===============	0/0	100.00	99.18	ISfinder_Feb_2020		IS100kyp:U59875	
ESC_NA4069AA_AS.fasta	NODE_116_length_2914_cov_10.4923	1508	2765	+	IS3:X02311	1-1258/1258	===============	0/0	100.00	99.84	ISfinder_Feb_2020		IS3:X02311	
ESC_NA4069AA_AS.fasta	NODE_121_length_2216_cov_8.32647	1	127	+	IS1S:M37615	642-768/768	............===	0/0	16.54	100.00	ISfinder_Feb_2020		IS1S:M37615	
ESC_NA4069AA_AS.fasta	NODE_121_length_2216_cov_8.32647	1280	2087	-	ISKpn37:KU318421	446-1253/1253	.....==========	0/0	64.49	97.03	ISfinder_Feb_2020		ISKpn37:KU318421	
ESC_NA4069AA_AS.fasta	NODE_121_length_2216_cov_8.32647	2090	2216	-	IS1S:M37615	642-768/768	............===	0/0	16.54	100.00	ISfinder_Feb_2020		IS1S:M37615	
ESC_NA4069AA_AS.fasta	NODE_124_length_2125_cov_11.3253	1	366	-	IS2:M18426	1-366/1331	=====..........	0/0	27.50	99.45	ISfinder_Feb_2020		IS2:M18426	
ESC_NA4069AA_AS.fasta	NODE_124_length_2125_cov_11.3253	1451	1591	-	IS200:X56834	1-143/709	===...../......	2/4	19.75	76.39	ISfinder_Feb_2020		IS200:X56834	
ESC_NA4069AA_AS.fasta	NODE_124_length_2125_cov_11.3253	1952	2125	+	IS10R:J01829	1-174/1329	==.............	0/0	13.09	100.00	ISfinder_Feb_2020		IS10R:J01829	
ESC_NA4069AA_AS.fasta	NODE_132_length_1282_cov_83.5801	1	1282	-	IS10R:J01829	48-1329/1329	===============	0/0	96.46	99.45	ISfinder_Feb_2020		IS10R:J01829	
ESC_NA4069AA_AS.fasta	NODE_135_length_1097_cov_9.70103	924	1097	+	IS10L:J01829	1-174/1329	==.............	0/0	13.09	98.28	ISfinder_Feb_2020		IS10L:J01829	
ESC_NA4069AA_AS.fasta	NODE_136_length_852_cov_12.3807	1	284	-	IS1A:X52534	1-284/768	======.........	0/0	36.98	99.30	ISfinder_Feb_2020		IS1A:X52534	
